CH1 Voltage	CH1 Current	CH1 Time	CH2 Voltage	CH2 Current	CH2 Time
1,1,1	-1.20E-04	-8.29E-11	1.01E-02	0.00E+00	1.08E-05	1.01E-02
1,1,2	-1.21E-04	2.78E-11	2.12E-01	4.20E-02	1.17E-05	2.12E-01
1,1,3	-1.18E-04	-1.50E-11	4.14E-01	8.40E-02	7.86E-06	4.14E-01
1,1,4	-1.20E-04	4.30E-12	6.15E-01	1.26E-01	1.27E-06	6.15E-01
1,1,5	-1.19E-04	3.40E-12	8.17E-01	1.68E-01	-6.53E-06	8.17E-01
1,1,6	-1.22E-04	-3.70E-11	1.02E+00	2.10E-01	-1.11E-05	1.02E+00
1,1,7	-1.24E-04	6.30E-12	1.24E+00	2.52E-01	3.86E-06	1.24E+00
1,1,8	-1.20E-04	-5.50E-12	1.44E+00	2.94E-01	9.52E-06	1.44E+00
1,1,9	-1.24E-04	1.30E-11	1.64E+00	3.36E-01	1.24E-05	1.64E+00
1,1,10	-1.19E-04	-1.30E-11	1.85E+00	3.78E-01	1.03E-05	1.85E+00
1,1,11	-1.24E-04	1.14E-11	2.05E+00	4.20E-01	3.70E-06	2.05E+00
1,1,12	-1.19E-04	-2.24E-11	2.26E+00	4.62E-01	-2.41E-06	2.26E+00
1,1,13	-1.18E-04	8.80E-12	2.46E+00	5.04E-01	4.78E-06	2.46E+00
1,1,14	-1.20E-04	3.60E-12	2.66E+00	5.46E-01	1.00E-05	2.66E+00
1,1,15	-1.16E-04	-3.10E-12	2.86E+00	5.88E-01	1.25E-05	2.86E+00
1,1,16	-1.21E-04	1.57E-11	3.06E+00	6.30E-01	1.02E-05	3.06E+00
1,1,17	-1.22E-04	-3.80E-12	3.26E+00	6.72E-01	3.62E-06	3.26E+00
1,1,18	-1.23E-04	6.50E-12	3.47E+00	7.14E-01	-3.43E-06	3.47E+00
1,1,19	-1.22E-04	8.20E-12	3.67E+00	7.56E-01	-8.77E-06	3.67E+00
1,1,20	-1.20E-04	7.20E-12	3.87E+00	7.98E-01	-1.21E-05	3.87E+00
1,1,21	-1.25E-04	2.38E-11	4.07E+00	8.40E-01	-1.06E-05	4.07E+00
1,1,22	-1.18E-04	-1.89E-11	4.27E+00	8.82E-01	-4.49E-06	4.27E+00
1,1,23	-1.20E-04	1.18E-11	4.47E+00	9.24E-01	2.22E-06	4.47E+00
1,1,24	-1.19E-04	6.10E-12	4.68E+00	9.66E-01	8.13E-06	4.68E+00
1,1,25	-1.19E-04	-2.90E-12	4.88E+00	1.01E+00	1.20E-05	4.88E+00
1,1,26	-1.18E-04	1.34E-11	5.08E+00	1.05E+00	1.11E-05	5.08E+00
1,1,27	-1.19E-04	4.00E-13	5.28E+00	1.09E+00	4.62E-06	5.28E+00
1,1,28	-1.24E-04	5.10E-12	5.48E+00	1.13E+00	-3.50E-06	5.48E+00
1,1,29	-1.19E-04	-4.20E-12	5.68E+00	1.18E+00	-9.47E-06	5.68E+00
1,1,30	-1.23E-04	4.15E-11	5.89E+00	1.22E+00	-1.24E-05	5.89E+00
1,1,31	-1.23E-04	-1.42E-11	6.09E+00	1.26E+00	-1.03E-05	6.09E+00
1,1,32	-1.19E-04	5.40E-12	6.29E+00	1.30E+00	-3.89E-06	6.29E+00
1,1,33	-1.20E-04	6.90E-12	6.49E+00	1.34E+00	2.75E-06	6.49E+00
1,1,34	-1.17E-04	1.05E-11	6.69E+00	1.39E+00	8.45E-06	6.69E+00
1,1,35	-1.22E-04	3.35E-11	6.89E+00	1.43E+00	1.20E-05	6.89E+00
1,1,36	-1.18E-04	1.97E-11	7.10E+00	1.47E+00	1.11E-05	7.10E+00
1,1,37	-1.19E-04	-3.03E-11	7.30E+00	1.51E+00	4.77E-06	7.30E+00
