CH1 Voltage	CH1 Current	CH1 Time	CH2 Voltage	CH2 Current	CH2 Time
1,1,1	-1.25E-04	-2.80E-11	1.00E-02	0.00E+00	6.76E-06	1.00E-02
1,1,2	-1.27E-04	-1.11E-11	2.12E-01	4.20E-02	-1.85E-06	2.12E-01
1,1,3	-1.21E-04	7.40E-12	4.14E-01	8.40E-02	-7.98E-06	4.14E-01
1,1,4	-1.27E-04	1.55E-11	6.15E-01	1.26E-01	-1.18E-05	6.15E-01
1,1,5	-1.22E-04	3.96E-11	8.17E-01	1.68E-01	-1.11E-05	8.17E-01
1,1,6	-1.24E-04	2.40E-11	1.02E+00	2.10E-01	-5.43E-06	1.02E+00
1,1,7	-1.21E-04	8.90E-12	1.24E+00	2.52E-01	1.20E-05	1.24E+00
1,1,8	-1.17E-04	-1.65E-11	1.44E+00	2.94E-01	1.09E-05	1.44E+00
1,1,9	-1.20E-04	-2.10E-11	1.64E+00	3.36E-01	4.72E-06	1.64E+00
1,1,10	-1.19E-04	-4.50E-12	1.84E+00	3.78E-01	-2.62E-06	1.84E+00
1,1,11	-1.28E-04	-5.12E-11	2.05E+00	4.20E-01	-9.76E-06	2.05E+00
1,1,12	-1.23E-04	3.20E-12	2.26E+00	4.62E-01	1.20E-05	2.26E+00
1,1,13	-1.20E-04	-1.41E-11	2.46E+00	5.04E-01	1.08E-05	2.46E+00
1,1,14	-1.23E-04	-3.11E-11	2.66E+00	5.46E-01	4.67E-06	2.66E+00
1,1,15	-1.23E-04	-6.90E-12	2.86E+00	5.88E-01	-2.70E-06	2.86E+00
1,1,16	-1.26E-04	1.00E-13	3.06E+00	6.30E-01	-8.40E-06	3.06E+00
1,1,17	-1.20E-04	4.85E-11	3.26E+00	6.72E-01	-1.20E-05	3.26E+00
1,1,18	-1.22E-04	4.36E-11	3.47E+00	7.14E-01	-1.07E-05	3.47E+00
1,1,19	-1.20E-04	1.11E-11	3.67E+00	7.56E-01	-3.94E-06	3.67E+00
